
Fri, 03 Jun 2016 17:18:50

{u'y': -13.56, u'x': 245.13, u'z': 85.25, u't': 1464967138780}
{u'y': -12.5, u'x': 251.31, u'z': 86.0, u't': 1464967138836}
{u'y': -11.63, u'x': 258.13, u'z': 86.69, u't': 1464967138892}
{u'y': -10.88, u'x': 264.13, u'z': 86.81, u't': 1464967138947}
{u'y': -9.56, u'x': 271.94, u'z': 86.87, u't': 1464967139002}
{u'y': -8.13, u'x': 280.75, u'z': 87.87, u't': 1464967139059}
{u'y': -6.88, u'x': 288.13, u'z': 89.0, u't': 1464967139114}
{u'y': -4.88, u'x': 296.88, u'z': 89.25, u't': 1464967139169}
{u'y': -3.06, u'x': 303.56, u'z': 88.87, u't': 1464967139224}
{u'y': -1.69, u'x': 309.0, u'z': 88.0, u't': 1464967139278}
{u'y': -1.12, u'x': 313.56, u'z': 87.69, u't': 1464967139334}
{u'y': -1.0, u'x': 317.38, u'z': 87.5, u't': 1464967139390}
{u'y': -1.12, u'x': 319.75, u'z': 87.69, u't': 1464967139444}
{u'y': -1.44, u'x': 322.19, u'z': 88.62, u't': 1464967139501}
{u'y': -2.0, u'x': 323.19, u'z': 89.56, u't': 1464967139557}
{u'y': -2.81, u'x': 322.81, u'z': 90.87, u't': 1464967139613}
{u'y': -3.31, u'x': 320.75, u'z': 92.94, u't': 1464967139668}
{u'y': -4.56, u'x': 315.38, u'z': 91.69, u't': 1464967139723}
{u'y': -5.69, u'x': 310.06, u'z': 90.94, u't': 1464967139778}
{u'y': -6.69, u'x': 303.13, u'z': 86.06, u't': 1464967139831}
{u'y': -7.31, u'x': 296.63, u'z': 83.75, u't': 1464967139886}
{u'y': -8.0, u'x': 289.19, u'z': 82.31, u't': 1464967139943}
{u'y': -8.56, u'x': 283.19, u'z': 81.87, u't': 1464967139998}
{u'y': -9.13, u'x': 275.56, u'z': 80.25, u't': 1464967140054}
{u'y': -9.44, u'x': 269.56, u'z': 80.56, u't': 1464967140110}
{u'y': -10.75, u'x': 262.25, u'z': 81.25, u't': 1464967140166}
{u'y': -11.56, u'x': 257.88, u'z': 79.81, u't': 1464967140221}
{u'y': -11.38, u'x': 254.19, u'z': 79.06, u't': 1464967140275}
{u'y': -11.44, u'x': 251.44, u'z': 78.62, u't': 1464967140330}
{u'y': -11.94, u'x': 248.69, u'z': 78.62, u't': 1464967140385}
{u'y': -12.19, u'x': 247.81, u'z': 79.19, u't': 1464967140441}
{u'y': -12.81, u'x': 247.25, u'z': 80.19, u't': 1464967140497}
{u'y': -13.56, u'x': 248.06, u'z': 82.06, u't': 1464967140553}
{u'y': -13.94, u'x': 250.94, u'z': 84.12, u't': 1464967140608}
{u'y': -14.19, u'x': 255.19, u'z': 88.44, u't': 1464967140664}
{u'y': -14.0, u'x': 260.19, u'z': 89.06, u't': 1464967140719}
{u'y': -12.25, u'x': 268.06, u'z': 90.44, u't': 1464967140774}
{u'y': -10.44, u'x': 275.13, u'z': 90.06, u't': 1464967140829}
{u'y': -9.0, u'x': 282.19, u'z': 89.81, u't': 1464967140884}
{u'y': -8.13, u'x': 287.25, u'z': 90.19, u't': 1464967140939}
{u'y': -6.94, u'x': 293.13, u'z': 90.94, u't': 1464967140996}
{u'y': -5.88, u'x': 297.25, u'z': 91.31, u't': 1464967141051}
{u'y': -4.63, u'x': 301.56, u'z': 91.56, u't': 1464967141106}
{u'y': -4.0, u'x': 302.81, u'z': 93.19, u't': 1464967141162}
{u'y': -2.81, u'x': 304.5, u'z': 91.06, u't': 1464967141218}
{u'y': -2.25, u'x': 303.94, u'z': 88.69, u't': 1464967141273}
